{'audio': '/ssd_scratch/cvit/neha/GRID/audio/trainval/s4/srabza.wav', 'hubert': '71 71 71 71 71 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 56 56 56 56 56 56 56 56 56 56 40 40 63 40 40 93 93 15 15 15 7 7 87 9 9 9 74 2 60 52 52 25 25 9 9 9 1 85 85 53 62 9 74 2 66 66 66 47 47 11 45 45 45 64 64 29 28 28 28 28 87 53 53 53 0 0 0 52 52 25 25 25 97 97 97 97 97 14 76 73 73 99 27 89 89 87 87 38 38 38 38 44 80 81 81 81 81 81 83 83 83 83 83 83 83 83 83 83 83 22 22 22 22 22 22 22 22 22 22 22 22 8 8 8 8 40 40 20 20 20', 'duration': 0.0}
{'audio': '/ssd_scratch/cvit/neha/GRID/audio/trainval/s1/pwix1s.wav', 'hubert': '71 71 71 71 71 12 12 12 12 12 12 12 12 4 4 4 4 4 4 4 4 67 54 54 40 40 40 40 93 63 47 47 59 35 94 94 32 65 6 6 49 60 60 60 60 14 14 24 24 13 58 58 58 32 74 31 31 23 23 26 26 26 87 9 74 74 89 89 49 60 60 60 14 14 68 68 44 80 18 18 6 36 36 49 49 7 23 69 69 69 69 44 80 81 81 81 83 83 83 83 83 83 22 22 22 22 22 22 22 22 22 22 22 22 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 56 20 20 20 20', 'duration': 0.0}
{'audio': '/ssd_scratch/cvit/neha/GRID/audio/trainval/s4/pbwj2a.wav', 'hubert': '71 71 71 71 71 12 12 12 12 4 12 34 34 34 34 67 67 67 67 67 54 54 40 40 40 63 47 59 35 35 94 32 65 65 6 36 92 92 92 27 47 47 90 35 35 69 69 69 69 60 70 14 76 76 62 99 99 66 27 27 21 21 95 87 87 94 94 32 32 64 74 74 27 31 31 59 59 59 23 69 69 69 69 76 76 73 73 1 1 89 89 87 87 38 38 38 38 44 44 80 80 81 81 81 81 81 83 83 83 83 83 83 83 83 83 83 83 22 22 22 22 22 22 22 8 8 8 8 8 8 8 8 8 8 8 8 8 63 8 8 56 56 63 56 56 40 40 20 20 20', 'duration': 0.0}
{'audio': '/ssd_scratch/cvit/neha/GRID/audio/trainval/s1/pbbv8p.wav', 'hubert': '71 71 71 71 71 12 12 12 12 12 12 12 12 34 34 34 34 34 34 34 34 34 34 34 67 67 67 67 56 56 56 40 63 40 40 40 63 40 93 47 59 33 35 94 32 32 65 6 36 36 60 92 92 27 27 27 47 47 90 90 35 35 69 69 69 69 69 69 69 69 69 69 65 74 27 27 27 47 47 24 24 13 58 58 58 32 32 16 99 3 3 77 77 11 11 45 64 64 87 94 94 32 32 32 64 74 2 27 27 47 59 59 35 11 11 11 45 64 64 64 29 29 28 49 49 41 41 41 83 83 83 22 22 22 22 22 22 22 22 22 22 22 63 22 22 40 40 20 20 20', 'duration': 0.0}
{'audio': '/ssd_scratch/cvit/neha/GRID/audio/trainval/s29/lbbh7s.wav', 'hubert': '71 71 71 71 71 12 12 12 12 12 12 12 63 40 40 40 63 63 93 93 93 93 90 35 87 87 94 94 32 32 32 64 64 1 66 27 27 27 47 90 90 90 35 69 69 69 69 69 69 60 74 66 27 63 47 47 24 13 58 58 58 32 65 75 75 75 75 75 94 94 94 32 32 64 64 74 2 21 21 21 95 36 36 15 7 7 87 87 9 9 16 77 77 77 23 44 80 80 18 18 6 6 36 49 49 49 7 7 23 69 69 69 69 69 69 69 42 42 80 81 81 81 83 83 83 83 84 63 63 63 96 96 55 55 55 34 34 34 34 34 34 34 34 34 34 34 20 20 20 20', 'duration': 0.0}
{'audio': '/ssd_scratch/cvit/neha/GRID/audio/trainval/s2/lwbs2a.wav', 'hubert': '71 71 71 71 71 12 12 12 12 12 12 39 39 39 39 39 67 67 67 67 67 67 54 54 54 63 40 93 93 93 90 90 35 35 94 32 32 60 60 70 70 70 14 14 24 24 61 61 13 58 58 58 65 74 31 60 92 92 63 47 47 24 13 58 58 58 32 87 87 87 9 9 43 6 6 6 36 36 49 92 92 63 27 31 31 59 59 23 69 69 69 76 76 73 73 73 1 27 89 89 87 87 94 94 94 94 32 32 32 88 81 81 81 81 81 83 83 83 83 83 83 83 22 22 22 22 22 22 22 22 22 22 4 4 4 4 4 4 4 4 22 63 8 56 63 63 40 40 20 20', 'duration': 0.0}
{'audio': '/ssd_scratch/cvit/neha/GRID/audio/trainval/s29/bgwz4p.wav', 'hubert': '71 71 71 71 40 40 63 63 27 47 47 53 53 53 53 53 44 80 80 80 18 18 18 18 66 27 27 78 78 52 52 25 25 11 45 45 45 64 64 64 64 64 80 80 81 85 10 10 10 10 10 10 40 40 93 93 14 76 76 62 99 99 82 62 62 29 28 36 28 7 87 87 91 9 9 9 1 85 85 60 3 3 3 3 3 3 77 48 48 48 48 48 48 19 19 65 65 74 27 27 27 47 47 59 59 35 35 11 11 11 11 11 64 64 64 64 64 65 6 6 15 15 15 15 41 41 41 41 84 63 63 22 22 22 22 22 22 4 4 4 4 4 4 4 4 4 4 20 20 20', 'duration': 0.0}
{'audio': '/ssd_scratch/cvit/neha/GRID/audio/trainval/s1/sbit2n.wav', 'hubert': '71 71 71 71 71 12 12 12 12 12 12 63 4 12 12 12 12 12 12 12 12 12 12 12 67 54 54 54 40 40 63 93 6 6 36 36 36 7 87 87 9 9 16 74 2 27 47 47 90 90 35 69 69 69 25 53 44 80 18 18 18 27 31 31 59 59 45 45 45 64 64 74 27 31 31 59 59 23 69 69 69 69 65 80 26 26 26 26 87 87 38 17 17 17 17 17 19 81 81 81 81 83 83 83 83 83 83 83 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 40 40 40 20 20 20', 'duration': 0.0}
{'audio': '/ssd_scratch/cvit/neha/GRID/audio/trainval/s4/pwwq7p.wav', 'hubert': '71 71 71 71 71 12 12 12 12 12 63 63 12 12 34 34 34 34 34 34 34 12 12 12 56 56 54 63 40 40 40 63 63 47 59 90 35 94 32 32 65 6 28 60 60 60 14 14 24 24 13 58 58 58 74 74 2 2 14 76 76 62 99 99 99 27 27 89 59 59 98 98 98 69 69 69 65 65 6 36 36 15 7 7 87 87 9 9 16 77 77 77 80 80 18 18 18 18 27 47 59 90 90 35 11 11 11 11 64 64 64 64 64 29 29 6 15 15 15 41 41 41 10 83 83 83 83 83 83 83 22 22 22 22 22 22 22 22 22 22 22 22 63 8 8 40 40 20 20 20', 'duration': 0.0}
{'audio': '/ssd_scratch/cvit/neha/GRID/audio/trainval/s4/lrid8a.wav', 'hubert': '71 71 71 71 71 12 12 12 12 12 12 12 12 12 12 67 67 67 67 67 54 54 54 40 40 93 93 93 90 35 35 94 94 32 32 60 60 52 52 25 25 87 9 9 9 1 85 85 53 53 44 80 18 18 18 27 31 87 11 45 45 64 64 87 87 94 94 32 32 32 64 65 27 15 36 23 23 23 1 27 89 87 87 38 38 38 38 42 44 80 81 81 81 81 81 83 83 83 83 83 83 83 83 83 83 22 22 22 22 22 22 22 22 22 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 40 40 20 20 20', 'duration': 0.0}
{'audio': '/ssd_scratch/cvit/neha/GRID/audio/trainval/s1/srah4n.wav', 'hubert': '71 71 71 71 71 12 12 12 12 12 12 12 12 12 12 12 4 4 4 4 4 4 4 4 4 67 67 54 40 40 63 93 6 49 36 36 36 7 87 87 9 9 9 37 60 60 70 52 25 25 9 9 1 85 85 37 86 94 94 32 32 74 21 21 95 95 3 3 3 77 48 48 48 48 51 19 19 44 80 80 26 26 42 42 17 17 81 81 81 81 83 83 83 83 83 83 22 22 22 22 22 22 22 22 22 22 22 22 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 56 56 56 40 20 20 20 20', 'duration': 0.0}
{'audio': '/ssd_scratch/cvit/neha/GRID/audio/trainval/s4/sgbv8a.wav', 'hubert': '71 71 71 71 71 12 12 12 12 12 12 12 4 12 12 4 4 12 63 12 4 4 12 56 56 56 56 56 56 40 40 40 40 93 93 15 36 36 7 87 87 9 9 9 2 2 66 27 78 78 52 25 25 45 45 64 64 80 80 18 18 47 47 24 13 13 13 58 58 32 65 99 77 77 77 11 11 45 64 64 87 87 94 94 32 32 64 65 65 15 36 36 23 23 73 1 89 89 87 87 38 38 38 38 44 80 81 81 81 81 83 83 83 83 83 83 83 83 83 83 83 22 22 22 22 22 22 22 22 22 22 22 22 22 8 8 8 8 8 8 8 8 8 8 8 40 40 20 20 20', 'duration': 0.0}
{'audio': '/ssd_scratch/cvit/neha/GRID/audio/trainval/s1/bwwh5a.wav', 'hubert': '71 71 71 71 71 12 12 12 12 12 12 12 12 4 4 4 4 4 4 4 4 4 4 12 40 40 40 40 93 93 93 93 47 53 53 53 44 80 18 18 66 66 70 14 24 24 13 58 58 58 74 74 31 60 23 23 73 77 77 77 94 32 32 64 6 36 36 3 3 77 24 24 13 13 58 58 9 77 77 77 73 1 89 89 53 42 42 42 44 80 81 81 83 83 83 83 83 83 22 22 22 22 22 22 22 22 22 22 22 22 22 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 40 20 20 20', 'duration': 0.0}
{'audio': '/ssd_scratch/cvit/neha/GRID/audio/trainval/s1/sbbn6n.wav', 'hubert': '71 71 71 71 12 12 12 12 12 12 12 12 12 4 4 4 4 4 4 4 4 4 4 40 40 40 93 93 93 49 49 7 87 87 9 9 9 74 66 66 27 27 47 47 90 90 35 35 69 69 69 69 69 69 69 60 66 27 47 47 24 58 58 58 32 53 9 43 65 6 36 36 36 36 7 7 53 53 74 89 89 49 49 92 92 26 26 26 87 87 38 17 17 17 17 81 81 81 81 81 83 83 83 83 83 22 22 22 22 22 22 22 22 22 22 22 22 22 22 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 40 20 20 20 20', 'duration': 0.0}
{'audio': '/ssd_scratch/cvit/neha/GRID/audio/trainval/s2/sbwb1n.wav', 'hubert': '71 71 71 71 71 12 12 12 12 12 12 39 39 39 67 67 67 67 54 54 54 63 63 93 6 6 36 36 7 7 87 9 9 9 74 2 60 2 27 63 47 47 90 90 35 35 53 69 69 69 69 70 70 14 14 76 76 99 99 66 66 66 27 63 47 47 11 45 45 45 64 60 70 70 14 14 24 24 24 61 68 68 80 80 80 18 18 26 26 26 87 24 13 17 17 17 17 97 81 81 81 81 81 83 83 83 83 83 83 83 83 83 83 83 83 83 83 83 22 22 22 22 22 22 22 22 8 8 8 8 8 8 8 8 8 8 8 63 63 56 8 56 56 56 56 56 40 20 20 20', 'duration': 0.0}
{'audio': '/ssd_scratch/cvit/neha/GRID/audio/trainval/s1/lbid3s.wav', 'hubert': '71 71 71 71 71 12 12 12 12 4 12 12 63 4 4 4 34 34 34 34 34 34 34 34 34 34 34 34 34 56 67 67 54 54 54 40 40 40 93 93 93 93 93 90 35 35 94 94 32 64 65 74 27 27 47 47 90 90 35 35 69 69 69 69 76 76 76 9 1 1 27 31 31 23 45 45 45 64 65 65 3 3 3 77 77 25 11 45 64 64 6 36 36 36 49 7 7 23 69 69 69 69 42 80 80 81 81 81 81 83 83 83 83 83 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 8 8 8 8 8 8 8 8 8 8 40 40 20 20 20', 'duration': 0.0}
{'audio': '/ssd_scratch/cvit/neha/GRID/audio/trainval/s4/lbby2a.wav', 'hubert': '71 71 71 71 71 12 12 12 12 12 12 12 12 34 34 34 34 34 67 67 67 67 67 54 54 54 40 93 93 93 90 90 35 35 94 94 32 32 64 1 66 27 47 90 90 35 69 69 69 69 69 60 66 47 47 24 24 13 13 58 58 60 60 70 70 14 14 24 24 13 13 58 58 32 65 74 2 27 31 36 36 59 23 23 69 69 69 69 76 76 73 73 1 27 89 89 87 87 38 38 38 42 44 80 81 81 81 81 81 83 83 83 83 83 83 83 83 83 83 83 83 83 22 22 22 22 22 22 22 8 8 8 8 8 8 8 63 63 8 8 8 63 63 63 8 40 40 20 20 20', 'duration': 0.0}
{'audio': '/ssd_scratch/cvit/neha/GRID/audio/trainval/s2/lgas2s.wav', 'hubert': '71 71 71 71 71 71 12 12 12 12 12 12 34 39 39 39 39 67 67 67 67 67 54 54 54 63 63 93 93 93 90 90 35 94 94 32 64 74 74 27 78 78 52 52 25 25 11 45 64 64 44 80 85 53 53 9 74 31 31 87 87 87 9 9 74 74 2 89 6 49 36 49 92 92 27 31 31 59 59 23 69 69 69 69 69 65 65 6 6 49 49 49 49 49 7 7 23 87 69 69 69 69 69 42 44 80 81 81 81 81 83 83 83 83 83 83 83 83 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 8 8 8 8 63 8 8 8 8 56 56 40 20 20 20', 'duration': 0.0}
{'audio': '/ssd_scratch/cvit/neha/GRID/audio/trainval/s2/lbij5n.wav', 'hubert': '71 71 71 71 71 12 12 12 12 12 12 12 12 12 39 39 67 67 67 67 67 54 54 54 40 40 93 93 90 90 35 35 94 32 32 16 66 66 63 47 47 90 90 35 35 53 69 69 69 14 76 76 53 44 80 18 18 21 21 95 95 87 87 94 94 32 32 64 65 3 3 3 3 3 3 24 24 24 61 61 13 13 58 58 58 65 16 3 77 99 26 26 26 26 87 91 91 17 17 17 17 97 97 81 81 81 81 81 83 83 83 83 83 83 83 83 83 83 83 22 22 22 22 22 22 22 22 22 22 8 8 8 8 8 8 8 8 8 63 8 8 8 8 8 8 56 40 40 20 20', 'duration': 0.0}
{'audio': '/ssd_scratch/cvit/neha/GRID/audio/trainval/s2/lbbezs.wav', 'hubert': '71 71 71 71 71 12 12 12 12 12 12 39 39 39 39 39 67 67 67 67 67 54 54 54 54 40 63 63 63 40 93 93 90 90 90 35 35 94 32 32 64 16 66 27 63 47 47 90 90 35 53 69 69 69 60 66 66 47 47 24 24 13 13 58 58 58 32 37 37 37 45 45 45 45 45 64 64 29 29 28 28 28 7 11 11 11 64 0 52 25 25 25 97 97 97 97 65 65 6 6 49 49 36 36 49 7 7 87 69 69 69 69 69 69 42 44 80 81 81 81 81 83 83 83 83 83 83 83 83 22 22 22 22 22 22 22 22 22 22 22 22 22 63 22 56 56 40 20 20 20', 'duration': 0.0}
{'audio': '/ssd_scratch/cvit/neha/GRID/audio/trainval/s29/lwwx1s.wav', 'hubert': '71 71 71 71 71 71 12 12 12 12 12 67 67 67 67 54 54 40 63 63 93 93 93 93 90 90 90 90 35 87 94 94 94 32 32 64 64 64 60 70 70 70 70 14 14 24 24 24 13 13 13 13 13 58 58 58 32 32 64 74 2 63 31 31 23 60 60 60 93 14 14 76 53 53 99 99 99 37 37 37 86 86 91 91 91 9 9 74 74 2 2 89 6 36 36 60 60 60 60 70 70 14 14 48 48 48 46 46 68 68 44 80 80 18 18 65 6 6 49 49 49 49 49 7 7 7 23 69 69 69 69 69 69 69 69 69 44 81 81 81 81 83 83 83 83 83 10 20 20 20', 'duration': 0.0}
{'audio': '/ssd_scratch/cvit/neha/GRID/audio/trainval/s4/lray2s.wav', 'hubert': '71 71 71 71 71 12 12 12 63 12 12 12 34 34 34 34 34 67 67 67 67 67 67 54 54 54 40 63 93 93 93 90 35 35 94 94 32 32 60 60 52 52 25 25 9 9 9 1 85 85 53 53 73 74 2 70 70 70 14 14 24 24 13 58 58 58 65 74 2 27 31 31 59 59 23 69 69 69 69 69 65 65 6 6 15 15 15 7 7 7 23 69 69 69 69 69 69 42 81 80 81 81 81 81 10 10 83 83 83 83 83 83 83 83 83 83 83 83 83 22 22 22 22 22 22 22 22 22 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 40 40 20 20 20', 'duration': 0.0}
{'audio': '/ssd_scratch/cvit/neha/GRID/audio/trainval/s1/bbwt1a.wav', 'hubert': '71 71 71 71 12 12 12 12 4 4 4 4 4 4 4 4 4 4 4 4 4 4 54 54 54 40 40 93 93 93 93 47 47 53 53 53 16 80 18 18 66 27 47 47 90 35 35 69 69 69 69 25 53 62 99 77 99 2 27 27 36 36 59 59 45 45 45 64 60 70 14 14 24 68 68 80 85 85 73 11 89 89 89 42 42 42 42 80 81 81 10 83 83 83 83 83 83 22 22 22 22 22 22 22 22 22 22 22 22 22 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 56 56 40 20 20 20', 'duration': 0.0}
{'audio': '/ssd_scratch/cvit/neha/GRID/audio/trainval/s1/pwic8n.wav', 'hubert': '71 71 71 71 12 12 12 12 12 12 63 4 4 4 12 4 4 12 40 63 40 40 40 93 93 63 27 47 59 33 35 53 53 65 36 36 60 60 60 14 14 24 13 58 58 74 31 31 23 23 44 80 18 18 66 21 21 95 23 45 45 98 87 87 94 94 32 32 64 64 2 2 26 26 26 87 87 17 17 17 17 81 81 81 81 81 83 83 83 83 83 83 83 22 22 22 22 22 22 22 22 22 22 22 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 56 40 40 20 20 20', 'duration': 0.0}
{'audio': '/ssd_scratch/cvit/neha/GRID/audio/trainval/s4/pbao6s.wav', 'hubert': '71 71 71 71 71 12 12 12 12 12 12 34 34 34 34 34 67 67 67 67 67 67 67 54 54 40 40 40 63 47 47 90 35 35 94 32 32 65 6 6 15 49 92 92 27 27 47 90 90 35 35 69 69 69 76 76 76 62 74 74 31 59 87 87 97 97 97 97 65 65 6 6 36 15 15 7 7 87 53 53 74 74 2 2 2 89 6 6 15 15 15 15 7 7 7 23 69 69 69 69 69 69 69 42 44 80 80 81 81 81 10 83 83 83 83 83 83 83 83 83 83 83 22 22 22 22 22 22 22 22 22 8 8 8 8 8 8 8 8 8 8 8 8 56 40 40 20 20 20 20', 'duration': 0.0}
{'audio': '/ssd_scratch/cvit/neha/GRID/audio/trainval/s4/pbbv3n.wav', 'hubert': '71 71 71 71 71 12 12 12 12 12 12 34 34 34 34 34 34 34 67 67 67 67 67 54 54 40 40 40 40 93 93 47 90 35 87 94 32 65 65 36 36 92 92 92 27 47 47 90 90 35 69 69 69 69 16 66 47 47 24 24 13 13 58 58 58 32 65 66 77 77 77 11 11 45 45 64 64 6 15 15 15 99 60 52 52 25 25 11 11 45 64 64 64 80 26 26 87 87 91 13 13 42 42 42 42 81 81 81 81 81 83 83 83 83 83 83 83 4 4 4 4 4 4 4 4 4 4 4 22 22 22 22 22 8 8 8 8 8 8 8 8 8 8 8 8 40 40 20 20 20', 'duration': 0.0}
{'audio': '/ssd_scratch/cvit/neha/GRID/audio/trainval/s29/sbwz1s.wav', 'hubert': '71 71 71 71 71 12 12 12 12 12 12 12 12 12 40 63 40 63 93 93 6 15 15 15 7 7 87 87 87 9 9 9 74 2 31 31 60 92 27 63 63 47 47 90 90 35 35 69 69 69 69 69 69 69 69 70 70 70 70 70 14 14 76 53 99 99 82 82 62 62 62 29 28 28 28 7 87 87 9 9 9 9 1 27 60 60 60 70 70 14 14 14 48 68 68 68 44 80 80 18 18 6 6 49 49 49 49 7 7 7 23 69 69 69 69 69 69 69 69 42 81 81 81 81 81 83 83 83 83 83 83 83 83 83 83 83 22 22 22 22 22 63 63 22 40 63 20 20 20 20', 'duration': 0.0}
